FID,ref_tn_cod,id_thiesse,type,area_m2,road_density_mean,school_kde_mean
14443,315851,4092,0,7910.275319583657,0.13695610066254935,0.020332398513952892
14444,315851,4092,0,7403.8243321486025,0.0,0.0
14445,315851,4092,0,267.49539960808,0.0,0.0
14446,315851,4092,0,59.275902811832566,0.0,0.0
14447,135153,3662,1,604.1569210781524,0.0,0.0
14448,116057,3725,1,8.495757636636208,0.0,0.0
14449,535262,2324,1,4148.266437372968,0.0,0.0
14450,525751,2687,1,37.71538996095066,0.0,0.0
14451,525751,2687,1,154.81849116489144,0.0,0.0
14452,525751,2687,1,118.8504330370342,0.0,0.0
14453,525751,2687,1,1570534.0115499801,0.17481587043939492,0.08668789778573391
14454,525751,2687,1,666.1570900077967,0.0,0.0
14455,525259,2456,0,38915.271815540036,0.09815985858440399,0.047186676412820816
14456,525259,2456,0,882024.1178741162,0.09858597195550298,0.0492849787801839
14457,425657,548,0,16084489.687489472,0.02568549686198279,0.030316077404719147
14458,235555,1218,0,955432.0550624663,0.05072059944116821,0.023593120063499857
14459,235555,1218,0,133148.81644694175,0.05532873272895813,0.020553757871190705
14460,235555,1218,0,1605.4100380945422,0.0,0.0
14461,245852,948,0,2907344.2513456168,0.01825811060094466,0.021504899116921914
14462,245852,948,0,9255142.475542888,0.018214210233897035,0.02060759590220037
14463,335659,3013,0,3221956.2894014427,0.011381667888357858,0.052303309870671624
14464,335659,3013,0,1140894.7962086017,0.010747089503786049,0.051589346750899476
14465,345858,3220,0,12636543.915563714,0.04581241341818437,0.024784294860703184
14466,415757,963,0,5147435.41689144,0.014695392063675592,0.03389292900952009
14467,215253,1610,1,976235.1920755267,0.06362793918209847,0.014394193389123738
14468,215253,1610,1,56170.7480164956,0.06138584949076176,0.016156328842043877
14469,215253,1610,1,11611089.369917288,0.0629906862321281,0.05424231707832146
14470,345352,3166,1,1098938.7050923987,0.27974810981535697,0.4162969218718039
14471,345352,3166,1,50383.32130775124,0.28438276549180347,0.40854816635449726
14472,345352,3166,1,76.07368440873859,0.0,0.0
14473,345352,3166,1,5795.98191814118,0.27602070569992065,0.3893248438835144
14474,345352,3166,1,7016.801440032783,0.28177112340927124,0.4061022102832794
14475,425564,483,1,346187.86309283844,0.015382403420517221,0.0977962133474648
14476,176153,3965,1,42482.35047256048,0.053047724068164825,0.04655977860093117
14477,176153,3965,1,199.75334506155158,0.0,0.0
14478,176153,3965,1,248.3754723487055,0.0,0.0
14479,346352,2872,0,13663812.029626342,0.0020644679482200697,0.02082294049457862
14480,116552,3802,1,793.0535172247382,0.0,0.0
14481,116552,3802,1,21349.164766091537,0.9088556170463562,0.6394516825675964
14482,215157,1611,0,1.0080444629053313,0.0,0.0
14483,425562,834,0,5458967.453862223,0.01314298202281984,0.018582868130236376
14484,425562,834,0,20610201.17380635,0.014209334677459981,0.016454797387166098
14485,325851,2835,1,40694.054464007,0.18192926794290543,0.32158922404050827
14486,346354,2857,0,429.59490609977587,0.0,0.0
14487,346354,2857,0,348.8868743476983,0.0,0.0
14488,346354,2857,0,12453517.220212132,0.005134594051760301,0.01598208285216841
14489,346354,2857,0,4534180.300055426,0.004561310297877386,0.006729304659625959
14490,346354,2857,0,10931946.296186889,0.0067717369332555444,0.0025867072395030872
14491,516057,2601,1,3418039.936329135,0.02578278049303774,0.029872297647011558
14492,425953,274,1,45.99311492788271,0.0,0.0
14493,425953,274,1,5.540944616728428,0.0,0.0
14494,425953,274,1,8432.51718765851,0.027170786634087563,0.07080358266830444
14495,425953,274,1,12640.598823863966,0.027458309195935726,0.05635729618370533
14496,425953,274,1,4401800.241930419,0.027236431220452807,0.05105277042002438
14497,425152,451,1,51023.809572491075,0.04240942746400833,0.31811251044273375
14498,425152,451,1,46723.58927284148,0.04240942746400833,0.3229958415031433
14499,425152,451,1,353535.0691109739,0.04240942746400833,0.3120240161293431
14500,335754,3070,0,616783.9322155471,0.03510355363126661,0.04413920005813974
14501,335754,3070,0,24128.753469784373,0.035413071513175964,0.04186133792002996
14502,335754,3070,0,1606288.3594830811,0.035738030727952716,0.043455741740763186
14503,335754,3070,0,14737.428338665432,0.035221390426158905,0.03342941589653492
14504,335754,3070,0,1517771.9549476618,0.03514058374209342,0.03225501556119888
14505,335754,3070,0,379871.95945914666,0.03531464068470774,0.03165437885232874
14506,435554,744,0,180490.00424543524,0.005769599073876937,0.036762418846289315
14507,525755,2675,1,445.0713017021656,0.0,0.0
